index,source_season,player_id,horizon,source_percentile,target_points,source_points,block,d1_p0,d1_p1,d1_p2,d1_p3,m1_p0,m1_p1,m1_p2,m1_p3,observed_region
0,2014,00-0027966,2,0.910493827160494,201.2,165.9,early,0.0796447322370568,0.1605000630731217,0.3452684497175743,0.4145867549722471,0.0796447322370568,0.3204672485418719,0.1695309430855478,0.4303570761355234,3
1,2014,00-0027966,3,0.910493827160494,228.0,165.9,early,0.1766379731470413,0.1644932994661894,0.3374254391866489,0.3214432882001202,0.1766379731470413,0.2419865548220376,0.1858350489545061,0.3955404230764149,3
2,2014,00-0027994,2,0.8240740740740741,32.2,114.8,early,0.2104460482288892,0.2458933883125185,0.0,0.5436605634585921,0.2104460482288892,0.2709344190403397,0.1435981649989754,0.3750213677317955,1
3,2014,00-0027994,3,0.8240740740740741,40.7,114.8,early,0.3420898913268494,0.2547921739752122,0.0,0.4031179346979383,0.3420898913268494,0.1909936701844301,0.144064890873386,0.3228515476153344,1
4,2014,00-0028000,2,0.5030864197530864,0.0,42.9,early,0.3778954352659636,0.1772007983038081,0.0,0.4449037664302283,0.3778954352659635,0.1834999895031566,0.0993213868255637,0.339283188405316,0
5,2014,00-0028000,3,0.5030864197530864,0.0,42.9,early,0.5720578336832965,0.1631435554958227,0.112217830919988,0.1525807799008927,0.5720578336832964,0.1152362611235027,0.0768765854074426,0.2358293197857582,0
6,2014,00-0028009,2,0.9969135802469136,244.8,310.1,early,0.0800619534691534,0.2294887705913537,0.6904492759394928,0.0,0.0800619534691534,0.3234145445111002,0.1708801935299417,0.4256433084898047,3
7,2014,00-0028009,3,0.9969135802469136,135.5,310.1,early,0.1871265511651267,0.3360715511543172,0.476801897680556,0.0,0.1871265511651267,0.2411631463938645,0.1876942511864871,0.3840160512545216,2
8,2014,00-0028011,2,0.5401234567901234,0.7,48.0,early,0.3137612319399863,0.0914262988200967,0.1459202933998668,0.44889217584005,0.3137612319399863,0.2085822888024139,0.1124035115186835,0.3652529677389162,1
9,2014,00-0028011,3,0.5401234567901234,16.8,48.0,early,0.4655534082989092,0.112314224721636,0.1520059610206986,0.2701264059587561,0.4655534082989091,0.1454777829970674,0.0989315205269923,0.290037288177031,1
10,2014,00-0028043,2,0.7685185185185185,0.0,92.3,early,0.2220514874575125,0.2343015516904311,0.0,0.5436469608520562,0.2220514874575125,0.2634676917198987,0.1398806940798025,0.3746001267427863,0
11,2014,00-0028043,3,0.7685185185185185,0.0,92.3,early,0.3629587525689864,0.2298249974823162,0.0,0.4072162499486973,0.3629587525689863,0.1831570166474034,0.1361682219844552,0.317716008799155,0
12,2014,00-0028064,2,0.4845679012345679,143.0,37.3,early,0.2983867022910637,0.0612002450082457,0.1442023095778995,0.496210743122791,0.2983867022910637,0.2035079313105142,0.1104268856582151,0.3876784807402069,3
