index,source_season,player_id,horizon,source_percentile,source_points,target_points,observed_region,d1_crps,m1_crps,d1_mae,m1_mae,d1_brier4,m1_brier4,d1_logloss4,m1_logloss4,d1_expected,m1_expected,d1_survivor_p,m1_survivor_p,d1_downside_p,m1_downside_p,p_out,pi_survivor,prob_norm_error
0,2021,00-0034109,2,0.54,41.4,0.0,0,6.648824774955209,7.316208520295639,24.13070350825184,53.73111830165299,0.3773973953100834,0.3923056658877901,0.7581032074291022,0.7581032074291024,24.13070350825184,53.73111830165299,0.2004580544609066,0.2652612900618347,0.6328092394401319,0.6468159720828907,0.4685543350367831,0.0846139477183897,0.0
1,2021,00-0034115,2,0.5914285714285714,47.5,27.3,2,14.330720226384576,11.87730192023716,20.964201200059478,41.6966642932809,1.008991022857739,1.0496266480098553,1.8832931948940368,2.1616271121768422,48.26420120005948,68.9966642932809,0.4202117388315158,0.3320823260559014,0.4276998378463421,0.5527800472362532,0.3187200764864838,0.0615362410801661,0.0
2,2021,00-0034164,2,0.2542857142857143,7.9,0.0,0,0.6661390934089555,2.2963919815359404,4.766279682232484,22.41267072070588,0.1560657235567634,0.2874276346382416,0.3275928526717559,0.5782635523798751,4.766279682232484,22.41267072070588,0.2793436267008462,0.2857396146574658,0.7206563732991538,0.6618819213548048,0.5608714453572061,0.3837576442844795,0.0
3,2021,00-0034171,2,0.3657142857142857,16.4,3.0,1,2.6267161138837523,4.658861345828818,6.554273473995769,36.491574810726384,1.4426364047720748,1.0183012464246353,27.631021115928547,1.852707071898904,9.554273473995767,39.491574810726384,0.1936664632292859,0.3149475816282067,0.6032202856398035,0.6061679046796151,0.4493558150641975,0.228359082940212,0.0
4,2021,00-0034208,2,0.2457142857142857,7.2,8.3,3,5.294282479858095,5.546763937864519,1.8895825840554088,7.318613246300508,1.0603326282657213,1.077119782247648,1.4810921727146096,1.538433299117741,6.410417415944592,15.618613246300509,0.2273892044301404,0.2147172357299228,0.7726107955698596,0.7470226573458698,0.6734825783887203,0.3973783816498414,0.0
5,2021,00-0034253,2,0.6371428571428571,60.2,0.0,0,7.50351931500153,10.993298652947177,26.852302119057278,66.03866784137838,0.3415940310108361,0.4486826204675305,0.6919392601225852,0.8438655064946046,26.852302119057278,66.03866784137838,0.227711207292094,0.2733594788769136,0.5949774617006058,0.6289590031311786,0.4300449647847709,0.0460960035074476,0.0
6,2021,00-0034301,2,0.8771428571428571,152.0,0.0,0,52.7303449662011,61.42851487950856,89.18153698433525,193.68641764172264,1.065947481346193,1.0842083378023826,2.189345556882276,2.1893455568822766,89.18153698433525,193.68641764172264,0.3009517878050935,0.4095009083320197,0.3203865479463839,0.4333120376663283,0.111990015735185,0.0096391578222607,0.0
7,2021,00-0034311,2,0.2457142857142857,7.2,0.0,0,0.3951764784149532,0.7303423066845198,4.66121997234802,12.182121341613634,0.055306308666597,0.097087678690077,0.1818725088944613,0.2939353025498887,4.66121997234802,12.182121341613634,0.166292376052838,0.1674739862335311,0.8337076239471619,0.8026841028526298,0.7453247104917208,0.3973783816498414,0.0
8,2021,00-0034331,2,0.1285714285714285,2.3,0.0,0,0.6752328378593422,0.3717937719587647,5.649119547636632,5.382578417787734,0.1283823340550705,0.1028978742848937,0.2921718137479606,0.2921718137479611,5.649119547636632,5.382578417787734,0.2533597581060088,0.1913899716924996,0.7466402418939914,0.7864698730514871,0.746640241893991,0.5904250224078783,0.0
9,2021,00-0034367,2,0.6828571428571428,78.6,0.0,0,32.05219150551468,28.88965862778433,62.1261909300346,114.07408188406824,0.9828677245947388,0.9299049444902672,1.7212482157087816,1.7212482157087816,62.1261909300346,114.07408188406824,0.506812912036262,0.3889688923909534,0.3020809256296323,0.4688137908885638,0.1788427741710671,0.0343879609643872,0.0
