index,horizon,regime,target,n,source_log_coef,dpts_coef,dpts_se,dpts_pvalue
0,2,p75_90,target_points,93,7.566828159442946,-16.629385217153,11.571029412560662,0.1541409717727871
1,2,p75_90,realized_ret,93,-0.765146648544425,-0.1380111279641244,0.095718645194683,0.1528178157542352
2,2,p90_plus,target_points,78,81.84883860047952,-6.259336351960354,10.939774935726655,0.5689225244918764
3,2,p90_plus,realized_ret,78,-0.2942893250766391,-0.0231088021957039,0.0557488946416748,0.6796795598249865
4,3,p75_90,target_points,80,37.24534936024583,-12.337965927018535,12.103093413526151,0.311202566191784
5,3,p75_90,realized_ret,80,-0.321077870269409,-0.1037488427941977,0.1031328039103686,0.3175792995097094
6,3,p90_plus,target_points,72,118.63255167760424,6.006900442102683,11.253143037179129,0.5951971267700024
7,3,p90_plus,realized_ret,72,-0.0689891720172606,0.0375754169096464,0.0550303732463229,0.497011631159131
