index,cohort,n,category,realized_share,d1_predicted_share
0,p90_plus,79,out,0.0886075949367088,0.1382033245759362
1,p90_plus,79,collapse_active,0.240506329113924,0.2375912466864741
2,p90_plus,79,middle_active,0.2531645569620253,0.2508387998441014
3,p90_plus,79,productive_active,0.4177215189873418,0.373366628893488
4,p95_plus,41,out,0.048780487804878,0.1350442700194624
5,p95_plus,41,collapse_active,0.1707317073170731,0.3233466331711572
6,p95_plus,41,middle_active,0.2926829268292683,0.2196781893865408
7,p95_plus,41,productive_active,0.4878048780487805,0.3219309074228392
