index,horizon,candidate,pooled_n,pooled_crps_gain,pooled_crps_ci_low,pooled_crps_ci_high,pooled_mae_gain,pooled_mae_ci_low,pooled_mae_ci_high,below_p90_crps_gain,below_p90_crps_ci_low,below_p90_crps_ci_high,p90_active_n,p90_d1_mean_ret_bias,p90_candidate_mean_ret_bias,old_high_225_5_active_n,old_high_d1_mean_ret_bias,old_high_candidate_mean_ret_bias,early_crps_gain,early_mae_gain,mid_crps_gain,mid_mae_gain,validation_crps_gain,validation_mae_gain
0,2,D1T90,773,0.0300532710277521,-0.0710369914609095,0.1559867725206471,0.1400238805360403,-0.0200580787111375,0.3233067930099333,0.0508662814999792,-0.0090759581328441,0.1190374490691551,78,0.013777071949975,0.0368086651855125,25,0.0088922059857508,0.0255331207712296,0.0576761426852192,0.1200571108575575,-0.0296852227246645,0.2067937210913506,0.0478079615009636,0.1042304233920753
1,2,D1H90,773,0.0398992872144379,-0.1892134298437549,0.3142168606979849,0.3176097925605752,0.0413012605259369,0.6308783398967899,0.0733015746131372,-0.0154653085184756,0.1677958292686903,78,0.013777071949975,0.0425726860250913,25,0.0088922059857508,0.0581216135558996,0.1370548361441954,0.3375753229726832,-0.2072899349644053,0.2456002406227909,0.1384337941445554,0.3585050475329809
2,3,D1T90,773,0.1551816644311306,-0.060224516129304,0.4141651466238377,0.2547382645846601,-0.0257896775660822,0.5466531489712142,0.1240316524135725,0.0319307643247903,0.2239987213504245,72,-0.0259787616627587,0.0115617190661533,25,-0.1256649091677378,-0.0976198362456987,0.1640737023500063,0.284454859705342,-0.0212233141439427,0.0575177703059865,0.3138803747983793,0.4032472799283274
3,3,D1H90,773,0.205965042753923,0.0229172978231383,0.4345689865707882,0.3586126204929223,0.0917765044526259,0.63273664687609,0.1032914491943761,0.0281692752416591,0.1840252531178563,72,-0.0259787616627587,0.0013717076004477,25,-0.1256649091677378,-0.0817397154726205,0.2329305874343653,0.3857962152524802,0.0511816859705502,0.2041945127377998,0.3171912246903368,0.4691644557039329
