index,horizon,regime,n,active_n,active_rate,source_points_median,active_target_points_median,active_retention_median,d1_cond_ret_median,d1h90_cond_ret_median
0,2,p75_90,33,28,0.8484848484848485,130.1,104.2,0.7828424031459307,0.8678019387813826,0.8515027056762935
1,2,p90_plus,14,14,1.0,198.1,140.8,0.7590152277654069,0.7268702127960032,0.7299066233392465
2,3,p75_90,33,25,0.7575757575757576,130.1,104.9,0.7658270932607215,0.7885931432947447,0.7679590190279058
3,3,p90_plus,14,13,0.9285714285714286,198.1,162.8,0.7276650841605524,0.6205994653854436,0.6280575613890533
