index,origin,min_adjusted_starter_usable_gap_points,min_adjusted_starter_usable_gap_log1p,min_any_adjacent_gap_points,ordering_violations,max_abs_tanh_h,frac_abs_tanh_h_ge_090,frac_abs_tanh_h_ge_095,frac_abs_tanh_h_ge_099
0,2014,12.763362243586451,0.3554580256333413,2.25732644854956,0,0.0821143055098196,0.0,0.0,0.0
1,2015,12.604131117515468,0.4142111656082972,2.781355114989156,0,0.0426682999279159,0.0,0.0,0.0
2,2016,13.174973261750353,0.4064477466449627,1.5816215426300186,0,0.1600066966263263,0.0,0.0,0.0
3,2017,14.177355491537456,0.4905353199077145,1.900263666031868,0,0.1902709731462568,0.0,0.0,0.0
4,2018,14.177292549185708,0.5222888999801958,1.8960808945599044,0,0.1870582126426485,0.0,0.0,0.0
5,2019,15.30015118189521,0.5156501835552216,3.827640716937308,0,0.2238583924965442,0.0,0.0,0.0
6,2020,15.657297955632137,0.6369655890709165,0.7437266622410061,0,0.2571043183697896,0.0,0.0,0.0
7,2021,16.09593782625044,0.5941819549532874,3.8436887938556863,0,0.2512537463869541,0.0,0.0,0.0
8,2022,16.62318766316455,0.7464797615944367,4.126461890671648,0,0.2685605020666516,0.0,0.0,0.0
