index,origin,rows_new,rows_hist,left_only,right_only,maxdiff_pred_D0,maxdiff_pred_D1,maxdiff_p_active,maxdiff_p_out,maxdiff_p_depth,maxdiff_p_usable,maxdiff_p_starter,maxdiff_p_premium,maxdiff_p_elite,maxdiff_d1_mean_depth,maxdiff_d1_mean_usable,maxdiff_d1_mean_starter,maxdiff_d1_mean_premium,maxdiff_d1_mean_elite
0,2014,546,546,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.714451465470121e-17,9.714451465470121e-17,9.714451465470121e-17,9.887923813067799e-17,9.887923813067799e-17,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202004e-14,8.526512829121202e-14
1,2015,558,558,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.887923813067799e-17,9.714451465470121e-17,9.714451465470121e-17,9.887923813067799e-17,9.887923813067799e-17,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202004e-14,5.684341886080803e-14
2,2016,560,560,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.714451465470121e-17,9.714451465470121e-17,9.714451465470121e-17,9.80118763926896e-17,9.887923813067799e-17,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202004e-14,5.684341886080803e-14
3,2017,554,554,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.887923813067799e-17,9.714451465470121e-17,9.887923813067799e-17,9.714451465470121e-17,9.97465998686664e-17,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202004e-14,5.684341886080803e-14
4,2018,575,575,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.714451465470121e-17,9.714451465470121e-17,9.714451465470121e-17,9.887923813067799e-17,9.887923813067799e-17,3.552713678800501e-15,3.552713678800501e-15,7.105427357601002e-15,1.4210854715202004e-14,2.8421709430404014e-14
5,2019,570,570,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.714451465470121e-17,9.714451465470121e-17,9.714451465470121e-17,9.80118763926896e-17,9.887923813067799e-17,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202004e-14,5.684341886080803e-14
6,2020,595,595,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.887923813067799e-17,9.887923813067799e-17,9.887923813067799e-17,9.887923813067799e-17,9.80118763926896e-17,1.7763568394002505e-15,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202004e-14,5.684341886080803e-14
7,2021,614,614,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.887923813067799e-17,9.714451465470121e-17,9.714451465470121e-17,9.714451465470121e-17,9.97465998686664e-17,3.552713678800501e-15,3.552713678800501e-15,7.105427357601002e-15,1.4210854715202004e-14,2.8421709430404014e-14
8,2022,596,596,0,0,2.8421709430404014e-14,2.8421709430404014e-14,1.1102230246251563e-16,1.1102230246251563e-16,9.714451465470121e-17,9.714451465470121e-17,9.97465998686664e-17,9.80118763926896e-17,9.714451465470121e-17,3.552713678800501e-15,3.552713678800501e-15,7.105427357601002e-15,1.4210854715202004e-14,5.684341886080803e-14
