index,omit_player,removed_rows,crps_gain,delta_vs_full
300,00-0035551,2,0.0144832202977138,-5.199615920470531e-05
301,00-0035760,1,0.0144916739327877,-4.3542524130803575e-05
302,00-0036523,1,0.0144930584910748,-4.215796584376708e-05
303,00-0031493,1,0.0144954259006976,-3.9790556220923104e-05
304,00-0037617,1,0.0144978731663517,-3.734329056683666e-05
305,00-0031706,1,0.0144987932442022,-3.642321271637994e-05
306,00-0028202,1,0.0145022705332219,-3.2945923696596144e-05
307,00-0036774,1,0.0145023784578876,-3.283799903091439e-05
308,00-0035448,1,0.0145056313844794,-2.9585072439108903e-05
309,00-0030248,1,0.0145062633105193,-2.8953146399198285e-05
310,00-0031900,4,0.0145124849291787,-2.273152773986202e-05
311,00-0028492,1,0.0145139912572925,-2.122519962600468e-05
312,00-0034311,1,0.0145166340477847,-1.858240913381673e-05
313,00-0035218,1,0.0145188028775713,-1.6413579347273125e-05
314,00-0029205,2,0.0145198031492641,-1.541330765441988e-05
315,00-0037276,1,0.0145249949290578,-1.0221527860766744e-05
316,00-0029619,2,0.0145271172670224,-8.09918989609637e-06
317,00-0029492,2,0.0145362218073699,1.005350451383294e-06
318,00-0029626,1,0.0145375846775672,2.368220648656452e-06
319,00-0036984,2,0.0146245268841971,8.931042727857233e-05
320,00-0029931,2,0.0146701950707253,0.0001349786138068
321,00-0028074,1,0.0146976790426365,0.0001624625857179
322,00-0037085,1,0.0147522864628393,0.0002170700059208
323,00-0030465,2,0.0147787268402891,0.0002435103833705
324,00-0035860,3,0.0148106837986971,0.0002754673417785
325,00-0037594,1,0.0148312661694215,0.0002960497125029
326,00-0030112,2,0.0148416414912818,0.0003064250343632
327,00-0036727,2,0.0149189622081337,0.0003837457512151
328,00-0029068,2,0.0149786562485453,0.0004434397916267
329,00-0031102,3,0.0149832437651187,0.0004480273082001
330,00-0037563,1,0.01512485862978,0.0005896421728614
331,00-0037267,1,0.0151440307226453,0.0006088142657267
332,00-0033376,4,0.0151465777736459,0.0006113613167273
333,00-0030968,3,0.0151707645210138,0.0006355480640952
334,00-0036251,3,0.0151824236049824,0.0006472071480638
335,00-0035567,3,0.0151875048615388,0.0006522884046202
336,00-0034614,2,0.0152052318874549,0.0006700154305363
337,00-0030513,3,0.0152392683689794,0.0007040519120608
338,00-0032813,3,0.0152883482644223,0.0007531318075037
339,00-0031959,4,0.0153513005113136,0.000816084054395
340,00-0032897,4,0.015367641932325,0.0008324254754064
341,00-0032972,4,0.0153929781446859,0.0008577616877674
342,00-0035973,2,0.0154431712219096,0.000907954764991
343,00-0037157,1,0.0154577201050781,0.0009225036481596
344,00-0030404,3,0.0154974867438609,0.0009622702869423
345,00-0033955,3,0.0155708474742524,0.0010356310173338
346,00-0035125,4,0.0157073635278848,0.0011721470709662
347,00-0037304,1,0.015899812316532,0.0013645958596134
348,00-0028064,1,0.0162337640779987,0.0016985476210801
349,00-0032975,3,0.016321704866672,0.0017864884097535
350,00-0032918,3,0.0166164630993095,0.0020812466423909
351,00-0035243,4,0.0166529630001737,0.0021177465432552
352,00-0029892,3,0.0167166347128719,0.0021814182559533
353,00-0034253,4,0.0167960504997628,0.0022608340428443
354,00-0027966,1,0.0167966336783749,0.0022614172214563
355,00-0033854,3,0.0168057368426063,0.0022705203856878
356,00-0036919,2,0.0169398593331099,0.0024046428761913
357,00-0033925,3,0.0170660734568456,0.002530856999927
358,00-0031045,4,0.0175665939047362,0.0030313774478176
359,00-0037525,1,0.01788314899289,0.0033479325359714
360,00-0036875,2,0.0179265425201761,0.0033913260632575
361,00-0034972,4,0.018148615011004,0.0036133985540855
362,00-0031687,4,0.0181862093274536,0.003650992870535
363,00-0037256,1,0.0183208050767982,0.0037855886198797
364,00-0035537,4,0.018370448522757,0.0038352320658384
365,00-0033526,4,0.0183709058584959,0.0038356894015773
366,00-0032187,4,0.0183917084207038,0.0038564919637853
367,00-0030578,3,0.0184758135253348,0.0039405970684163
368,00-0036139,2,0.0188044300210214,0.0042692135641029
369,00-0030288,3,0.0191696738234813,0.0046344573665627
370,00-0030874,4,0.0195079036372847,0.0049726871803661
371,00-0031806,4,0.0198839190881758,0.0053487026312572
372,00-0033118,4,0.0201411788834646,0.005605962426546
373,00-0034975,3,0.0202156355419384,0.0056804190850198
374,00-0032241,4,0.0208750714372984,0.0063398549803799
375,00-0037840,1,0.0212706682690054,0.0067354518120868
376,00-0032602,4,0.0212883792756253,0.0067531628187068
377,00-0032144,4,0.0213544822678451,0.0068192658109265
378,00-0032063,4,0.0217038023342689,0.0071685858773503
379,00-0033856,4,0.0217429500424804,0.0072077335855618
380,00-0036997,2,0.0219932271235911,0.0074580106666725
381,00-0037228,1,0.0219976787130891,0.0074624622561705
382,00-0038120,1,0.0231587395516177,0.0086235230946991
383,00-0034184,3,0.0232132344607414,0.0086780180038228
384,00-0033948,4,0.023919255262937,0.0093840388060184
385,00-0037248,1,0.0241090145821735,0.0095737981252549
386,00-0031062,4,0.0248763067783043,0.0103410903213858
387,00-0033923,4,0.0258782280417746,0.011343011584856
388,00-0036275,3,0.0260956716471573,0.0115604551902388
389,00-0036973,1,0.0264044167895585,0.01186920033264
390,00-0033280,4,0.027431179417863,0.0128959629609444
391,00-0034791,4,0.0302294284666009,0.0156942120096823
392,00-0036555,2,0.0318905457420399,0.0173553292851213
393,00-0035261,4,0.0333936200716069,0.0188584036146883
394,00-0033906,4,0.0338356791527798,0.0193004626958612
395,00-0034844,4,0.0360779840617112,0.0215427676047927
396,00-0033893,4,0.0379569474742048,0.0234217310172862
397,00-0033045,4,0.0395330463767344,0.0249978299198158
398,00-0033897,4,0.0402643597561517,0.0257291432992331
399,00-0035685,4,0.0414757289483828,0.0269405124914642
400,00-0036223,3,0.0417955848633878,0.0272603684064692
401,00-0033293,4,0.0428943181249239,0.0283591016680053
402,00-0033553,4,0.0455496132239935,0.0310143967670749
403,00-0033699,4,0.0463193573201218,0.0317841408632032
404,00-0035700,4,0.0503684561780724,0.0358332397211538
405,00-0032764,4,0.0520053977656091,0.0374701813086906
