index,subset,n,active_n,d1_crps,challenger_crps,crps_gain,d1_mae,challenger_mae,mae_gain,d1_cov10_90,challenger_cov10_90,d1_cov25_75,challenger_cov25_75,d1_imce,challenger_imce,d1_ret_bias,challenger_ret_bias,d1_cond_active_bias_points,challenger_cond_active_bias_points
0,full,986,519,22.62420937858564,22.60967416212872,0.0145352164569185,35.48144487838434,34.54481907203164,0.9366258063526984,0.8874239350912779,0.8620689655172413,0.7221095334685599,0.6967545638945233,0.3652206358387994,0.2255645262189521,0.3573162462204101,-0.2076589910335122,6.010970842540743,-0.7244425619424072
1,low_mid_lt75,750,329,14.820047002969412,14.732794750315374,0.0872522526540328,24.959386218380786,23.84895092281665,1.1104352955641303,0.908,0.8946666666666667,0.776,0.756,0.5720493618644835,0.3240762679716191,0.5635880705727347,-0.2958301501562898,7.454443999461521,1.8613547708293667
2,p75_plus,236,190,47.425572860416885,47.642129920010106,-0.2165570595932327,68.92019061992104,68.53592547843519,0.3842651414858591,0.8220338983050848,0.7584745762711864,0.5508474576271186,0.5084745762711864,0.021731762010038,0.0549836681314394,0.000140297736648,-0.0549836681314394,3.511483112925293,-5.201954785531428
3,p90_plus,93,85,52.716836820851206,54.21873445139518,-1.5018976305439669,73.83064999498045,75.26744777226887,-1.43679777728842,0.7204301075268817,0.6451612903225806,0.5161290322580645,0.4623655913978494,0.0241316365408475,0.068707905355682,-0.0241316365408475,-0.068707905355682,-10.306482343025104,-19.4718009082949
4,p95_plus,47,44,54.11122043037313,56.81236557516008,-2.70114514478694,73.54209520677831,76.72767969726118,-3.185584490482871,0.6595744680851063,0.574468085106383,0.5106382978723404,0.4468085106382978,0.0424488060133446,0.0857279977068698,-0.0424488060133446,-0.0857279977068698,-28.95360671001919,-38.28483608198981
5,upper,352,352,44.45092573661617,46.06598996036626,-1.6150642237500896,53.38691234323898,55.33367973895324,-1.94676739571426,0.6988636363636364,0.6306818181818182,0.4659090909090909,0.4119318181818182,0.4292020569955839,0.3189445508029989,0.4069165735388023,-0.3189445508029989,-14.383023180526877,-21.64190267066321
6,lower,167,167,14.086823543120412,12.982950448910378,1.1038730942100357,26.543852407030425,23.635238002888418,2.908614404142007,0.9880239520958084,0.9820359281437124,0.6946107784431138,0.6586826347305389,0.3292527914710662,0.2370192092266409,0.2527694485193679,0.0269069792590586,48.99711393307849,43.365054194163726
