index,origin,a0,a1,d0,d1,success,message,objective,iterations,training_rows,training_origins,min_adjusted_starter_usable_gap_points,min_adjusted_starter_usable_gap_log1p,min_any_adjacent_gap_points,ordering_violations,max_abs_tanh_h,frac_abs_tanh_h_ge_090,frac_abs_tanh_h_ge_095,frac_abs_tanh_h_ge_099
0,2014,-0.1653626043357049,0.1508815078242445,-0.0340221097873361,0.0485773652746228,True,Optimization terminated successfully,0.2442364811875707,14,112,2,12.763362243586451,0.3554580256333413,2.25732644854956,0,0.0821143055098196,0.0,0.0,0.0
1,2015,-0.2127274492776758,0.144699948318678,-0.0076368062025952,0.0356834410678884,True,Optimization terminated successfully,0.2354945372142469,14,159,3,12.604131117515468,0.4142111656082972,2.781355114989156,0,0.0426682999279159,0.0,0.0,0.0
2,2016,-0.2674451988381212,0.1306846635582015,-0.1240361153568834,0.0375785033659629,True,Optimization terminated successfully,0.2725371456752392,14,208,4,13.174973261750353,0.4064477466449627,1.5816215426300186,0,0.1600066966263263,0.0,0.0,0.0
3,2017,-0.270053199081613,0.0983654532344952,-0.1811557968286443,0.0116057904152075,True,Optimization terminated successfully,0.2691242568878474,13,262,5,14.177355491537456,0.4905353199077145,1.900263666031868,0,0.1902709731462568,0.0,0.0,0.0
4,2018,-0.2857954219000548,0.0853588484227307,-0.1849313943418883,0.0043824571539884,True,Optimization terminated successfully,0.2544545387988897,12,314,6,14.177292549185708,0.5222888999801958,1.8960808945599044,0,0.1870582126426485,0.0,0.0,0.0
5,2019,-0.2804211749964928,0.0639370617116169,-0.2070524330096298,-0.0207910924824284,True,Optimization terminated successfully,0.2489187692918141,14,366,7,15.30015118189521,0.5156501835552216,3.827640716937308,0,0.2238583924965442,0.0,0.0,0.0
6,2020,-0.2822465101101593,0.0489260642547778,-0.1923465147758527,-0.0719357317834836,True,Optimization terminated successfully,0.251658189213967,14,419,8,15.657297955632137,0.6369655890709165,0.7437266622410061,0,0.2571043183697896,0.0,0.0,0.0
7,2021,-0.2710298305511892,0.0488644735926918,-0.1925156081203637,-0.0646041478613755,True,Optimization terminated successfully,0.2366791281719167,14,476,9,16.09593782625044,0.5941819549532874,3.8436887938556863,0,0.2512537463869541,0.0,0.0,0.0
8,2022,-0.2755739874079225,0.0594330793885777,-0.178609094992569,-0.0972817461254073,True,Optimization terminated successfully,0.2329035823533042,14,546,10,16.62318766316455,0.7464797615944367,4.126461890671648,0,0.2685605020666516,0.0,0.0,0.0
