index,scope,n,d1_imce,challenger_imce,d1_mean_ret_bias,challenger_mean_ret_bias,d1_cond_active_bias_points,challenger_cond_active_bias_points,imce_improvement,relative_improvement
0,overall,519,0.3652206358387994,0.2255645262189521,0.3573162462204101,-0.2076589910335122,6.010970842540743,-0.7244425619424072,0.1396561096198472,0.3823883316425978
1,upper,352,0.4292020569955839,0.3189445508029989,0.4069165735388023,-0.3189445508029989,-14.383023180526877,-21.64190267066321,0.110257506192585,0.2568895101863864
2,lower,167,0.3292527914710662,0.2370192092266409,0.2527694485193679,0.0269069792590586,48.99711393307849,43.365054194163726,0.0922335822444253,0.2801299932259815
3,low_mid_lt75,329,0.5720493618644835,0.3240762679716191,0.5635880705727347,-0.2958301501562898,7.454443999461521,1.8613547708293667,0.2479730938928644,0.433481986737376
