index,scope,n,d1_cov10_90,challenger_cov10_90,diff10_90,d1_cov25_75,challenger_cov25_75,diff25_75
0,overall,986,0.8874239350912779,0.8620689655172413,-0.0253549695740366,0.7221095334685599,0.6967545638945233,-0.0253549695740366
1,upper,352,0.6988636363636364,0.6306818181818182,-0.0681818181818181,0.4659090909090909,0.4119318181818182,-0.0539772727272727
2,lower,167,0.9880239520958084,0.9820359281437124,-0.0059880239520958,0.6946107784431138,0.6586826347305389,-0.0359281437125749
3,low_mid_lt75,750,0.908,0.8946666666666667,-0.0133333333333333,0.776,0.756,-0.02
