index,scope,n,d1_cov10_90,challenger_cov10_90,diff10_90,d1_cov25_75,challenger_cov25_75,diff25_75
0,overall,986,0.8874239350912779,0.90973630831643,0.0223123732251521,0.7221095334685599,0.7393509127789046,0.0172413793103447
1,upper,352,0.6988636363636364,0.7613636363636364,0.0625,0.4659090909090909,0.5056818181818182,0.0397727272727273
2,lower,167,0.9880239520958084,0.9880239520958084,0.0,0.6946107784431138,0.7125748502994012,0.0179640718562873
