index,origin,n,crps_gain,mae_gain,d1_crps,challenger_crps,d1_mae,challenger_mae,a0,a1,d0,d1,success,message,objective,n_train_active,constraint_d0_plus_d1,constraint_d0_minus_d1,binding_plus,binding_minus,fit_ok
0,2014,104,-1.1681776183999162,-4.123526971486006,23.614660311494337,24.78283792989425,37.08165041741748,41.20517738890348,0.6448002353617529,-0.5582790739597738,-2.775557561562905e-17,-6.938893903906963e-18,True,Optimization terminated successfully,10.63389324015484,320,-3.469446951953601e-17,-2.081668171172209e-17,True,True,True
1,2015,115,-0.8757774528053245,-3.0711535024647,20.800757234505618,21.67653468731094,33.28233234059587,36.35348584306057,0.6047330264577618,-0.5572273107212248,-2.775557561562892e-17,1.3877787807814457e-17,True,Optimization terminated successfully,10.364575092015327,368,-1.3877787807814457e-17,-4.163336342344337e-17,True,True,True
2,2016,110,-0.8780457538735622,-3.208318075773696,20.512244421248244,21.39029017512181,33.41017759168849,36.61849566746218,0.6793469865984505,-0.6161471459265824,-2.775557561562847e-17,2.7755575615628763e-17,True,Optimization terminated successfully,12.491063294874674,419,2.8965986363584027e-31,-5.5511151231257217e-17,True,True,True
3,2017,108,-0.2627711775420995,-2.001578720520727,24.5235720686601,24.7863432462022,37.05755040829048,39.05912912881121,0.441939532744431,-0.4433155940222488,1.3877787807814421e-17,-1.3877787807814488e-17,True,Optimization terminated successfully,7.930318355808839,473,-6.62519900869209e-32,2.7755575615628907e-17,True,True,True
4,2018,111,-0.176142361107341,-1.1507055487207318,23.749043854224865,23.925186215332204,36.48257419651578,37.6332797452365,0.4523928945799747,-0.4862033802801494,1.3877787807813982e-17,6.938893903907188e-18,True,Optimization terminated successfully,8.19663604577178,525,2.0816681711721167e-17,6.9388939039067954e-18,True,True,True
5,2019,112,-0.505596447272411,-1.740427792887811,24.078874465807072,24.58447091307948,37.409341920470695,39.14976971335851,0.3962394983758558,-0.4674792737254976,1.5077295640437706e-17,9.508709981393268e-18,True,Optimization terminated successfully,7.407713354087594,577,2.458600562183097e-17,5.5685856590444364e-18,True,True,True
6,2020,113,-0.1018709855230044,-1.8207903760854212,23.433562921402288,23.53543390692529,36.59656464906433,38.41735502514974,0.4372647849834968,-0.5592590727232171,1.387778780781453e-17,-6.938893903907238e-18,True,Optimization terminated successfully,8.474137196034127,630,6.938893903907293e-18,2.0816681711721768e-17,True,True,True
7,2021,112,-0.3696224801681005,-1.5537866797556723,17.35748523815346,17.72710771832156,29.873945305608554,31.42773198536423,0.319162574509178,-0.4286582494593208,-2.7755575615628806e-17,2.0816681711721688e-17,True,Optimization terminated successfully,6.252938634437662,687,-6.938893903907108e-18,-4.857225732735049e-17,True,True,True
8,2022,101,0.0448131588156586,-1.254362931430844,26.03522038008206,25.9904072212664,38.64063463215358,39.894997563584425,0.3310383875920289,-0.4008491542707713,1.387778780781447e-17,6.938893903907231e-18,True,Optimization terminated successfully,6.2988195540294605,757,2.08166817117217e-17,6.938893903907238e-18,True,True,True
