index,origin,source_season,player_id,source_percentile,source_points,target_points,target_state,upper_multiplier,lower_multiplier,d1_crps,challenger_crps,crps_gain,d1_expected,challenger_expected,d1_abs_error,challenger_abs_error,mae_gain,p_out,p_depth,p_usable,p_starter,p_premium,p_elite,d1_mean_depth,challenger_mean_depth,d1_mean_usable,challenger_mean_usable,d1_mean_starter,challenger_mean_starter,d1_mean_premium,challenger_mean_premium,d1_mean_elite,challenger_mean_elite,d1_q10,d1_q25,d1_q75,d1_q90,d1_cov10_90,d1_cov25_75,challenger_q10,challenger_q25,challenger_q75,challenger_q90,challenger_cov10_90,challenger_cov25_75,realized_group,realized_retention,d1_realized_state_retention,challenger_realized_state_retention,d1_ret_bias,challenger_ret_bias,d1_point_bias_realized_state,challenger_point_bias_realized_state
0,2014,2014,00-0027966,0.910493827160494,165.9,228.0,elite,1.0776027209846122,1.0776027209846122,96.14643656779776,85.91424127394171,10.232195293856035,92.53392994216632,99.7148146890779,135.4660700578337,128.2851853109221,7.180884746911602,0.1766379731470413,0.0245647312994624,0.0447776945319023,0.0951508736348247,0.3374254391866489,0.3214432882001202,10.00654197187881,10.783076856543332,21.11826132083852,22.75709586179968,35.39529317247705,38.14206423270933,82.35851722670982,88.74976225976056,187.23284998735505,201.76262860407752,0.0,35.39529317247705,187.23284998735505,187.23284998735505,0.0,0.0,0.0,38.14206423270933,201.76262860407752,201.76262860407752,0.0,0.0,upper,1.3743218806509945,1.1285886075187164,1.2161701543344032,-0.2457332731322781,-0.1581517263165912,-40.76715001264495,-26.23737139592248
1,2014,2014,00-0027994,0.8240740740740741,114.8,40.7,starter,1.118245164773752,1.118245164773752,15.416791811519506,16.307247867448794,-0.8904560559292882,51.23786115641328,57.29649049150798,10.537861156413271,16.59649049150798,-6.058629335094707,0.3420898913268494,0.0469097236249884,0.0438605925929817,0.1640218577572421,0.2909570387504395,0.1121608959474987,9.355117446649494,10.461314850606366,20.241815456963,22.63531226099147,34.6840868675156,38.78531243419211,80.81876434739121,90.37519245445952,184.62281594553585,206.4535712380098,0.0,0.0,80.81876434739121,184.62281594553585,1.0,1.0,0.0,0.0,90.37519245445952,206.4535712380098,1.0,1.0,upper,0.3545296167247387,0.3021261922257456,0.3378511536079452,-0.052403424498993,-0.0166784631167934,-6.0159131324844,-1.9146875658078957
2,2014,2014,00-0028000,0.5030864197530864,42.9,0.0,out,1.2578709867519624,1.2578709867519624,4.097109606891204,5.1536353040511855,-1.056525697159982,19.892942777034687,25.022755560348944,19.892942777034687,25.022755560348944,-5.129812783314257,0.5720578336832964,0.0715445140389242,0.0915990414568985,0.112217830919988,0.1046462037810843,0.0479345761198084,3.03852581148076,3.822073460758611,13.664122920357428,17.187703780930104,27.027989525717345,33.99772385463578,71.73685390263489,90.23570720498871,164.4725208810701,206.8852121342544,0.0,0.0,27.027989525717345,71.73685390263489,1.0,1.0,0.0,0.0,33.99772385463578,90.23570720498871,1.0,1.0,out,,,,,,,
3,2014,2014,00-0028009,0.9969135802469136,310.1,135.5,elite,1.037050378882954,1.037050378882954,30.344840939563703,31.236204705355952,-0.8913637657922493,111.15914291190292,115.27763127309338,24.340857088097067,20.222368726906623,4.118488361190444,0.1871265511651267,0.0216586911540705,0.0186570398634953,0.0354906227916553,0.260265197345096,0.4768018976805558,9.28580235565304,9.629844851162211,21.00374499068405,21.781941700549847,33.993108543733854,35.25256609468858,82.88043960538188,85.95119129474708,184.1201277580104,190.9418482514226,0.0,33.993108543733854,184.1201277580104,184.1201277580104,1.0,1.0,0.0,35.25256609468858,190.9418482514226,190.9418482514226,1.0,1.0,upper,0.436955820702999,0.5937443655530809,0.6157428192564418,0.1567885448500818,0.1787869985534428,48.6201277580104,55.44184825142261
4,2014,2014,00-0028011,0.5401234567901234,48.0,16.8,starter,1.2432822754837305,1.2432822754837305,11.490636178518235,13.931714641383998,-2.441078462865761,38.161878511861694,47.44598715296108,21.361878511861693,30.64598715296108,-9.284108641099388,0.4655534082989091,0.0523891577370271,0.0599250669846089,0.1520059610206986,0.1354147102487344,0.1347116957100217,4.753220197592384,5.909594423137885,15.405963130451,19.15396089684557,28.90303905253928,35.93463616163616,73.76785245742741,91.71426346081844,167.81743577399538,208.6444434149377,0.0,0.0,73.76785245742741,167.81743577399538,1.0,1.0,0.0,0.0,91.71426346081844,208.6444434149377,1.0,1.0,upper,0.35,0.6021466469279017,0.74863825336742,0.2521466469279016,0.3986382533674199,12.10303905253928,19.13463616163616
5,2014,2014,00-0028043,0.7685185185185185,92.3,0.0,out,1.1440581399484984,1.1440581399484984,20.772060896230972,23.76444535183895,-2.992384455607976,52.32094406021788,59.85820194188231,52.32094406021788,59.85820194188231,-7.537257881664424,0.3629587525689863,0.0481517523100015,0.0477916906375698,0.1338815545347448,0.265147318387657,0.1420689315610402,7.76715526398501,8.886077204005877,18.537268209612783,21.20771258761603,33.003109991076435,37.75747662890661,78.68582687934168,90.0211607398892,181.4553723374647,207.59549576006205,0.0,0.0,78.68582687934168,181.4553723374647,1.0,1.0,0.0,0.0,90.0211607398892,207.59549576006205,1.0,1.0,out,,,,,,,
6,2014,2014,00-0028064,0.4845679012345679,37.3,126.2,elite,1.2649765629184695,1.2649765629184695,87.17962494958317,80.93911561080027,6.2405093387829,25.3511769370158,32.06864466772422,100.8488230629842,94.13135533227576,6.717467730708435,0.4687293263096252,0.0911013432133687,0.1211157686728277,0.1418241680363954,0.1159409615282299,0.0612884322395528,5.259303984175155,6.6528962772453015,15.750513214098866,19.924030069772723,29.403508367645465,37.194748952648624,73.68718044111255,93.21255624555164,167.2570291970717,211.5762219176659,0.0,0.0,29.403508367645465,73.68718044111255,0.0,0.0,0.0,0.0,37.194748952648624,93.21255624555164,0.0,0.0,upper,3.383378016085792,4.48410265943892,5.672284769910614,1.100724643353128,2.2889067538248224,41.057029197071685,85.37622191766589
7,2014,2014,00-0028074,0.4660493827160494,32.9,15.7,usable,1.2719525571969226,1.2719525571969226,6.772124270675972,7.787547730795616,-1.015423460119644,19.52247130818783,24.83165730325306,3.822471308187829,9.13165730325306,-5.309185995065231,0.5002672607511784,0.0920441870550866,0.1464626767542139,0.1352493252306681,0.0885386302142396,0.0374379199946131,5.219810017167326,6.639350699418093,15.59801860851698,19.83993965630836,29.477168725184,37.49356013892294,73.3971146406117,93.35764765800174,167.53717648479866,213.0993400553918,0.0,0.0,29.477168725184,73.3971146406117,1.0,1.0,0.0,0.0,37.49356013892294,93.35764765800174,1.0,1.0,lower,0.4772036474164133,0.4741039090734644,0.6030376795230503,-0.0030997383429489,0.1258340321066369,-0.1019813914830187,4.139939656308357
8,2014,2014,00-0028083,0.595679012345679,59.0,41.3,starter,1.220505910376504,1.220505910376504,15.273943091604565,16.264150569570447,-0.9902074779658818,51.47838261824197,62.82967024218742,10.178382618241976,21.52967024218742,-11.351287623945446,0.2921839778163815,0.0600519567597467,0.0839524265053036,0.1943603870843112,0.2183890813472225,0.1510621704870342,8.142737271370507,9.938258966350752,18.892025851205403,23.0578292103819,32.42453639570796,39.574338312179634,77.6837178397752,94.8134367634663,173.01514069390942,211.16600180153887,0.0,0.0,77.6837178397752,173.01514069390942,1.0,1.0,0.0,0.0,94.8134367634663,211.16600180153887,1.0,1.0,upper,0.7,0.5495684134865756,0.670751496816604,-0.1504315865134243,-0.029248503183396,-8.875463604292037,-1.725661687820363
9,2014,2014,00-0028121,0.5771604938271605,55.9,6.0,usable,1.228212090103632,1.228212090103632,11.388337761045232,14.56328297011124,-3.1749452090660064,37.309231307704046,45.82364896459505,31.30923130770405,39.82364896459505,-8.514417656891005,0.2896734109813514,0.101221041135707,0.1809370735437337,0.209849798940254,0.1250324268921812,0.0932862485067724,8.885998692066195,10.913891026240762,19.62453609479055,24.103092494296867,33.08213353353789,40.631876372314025,78.27145002630299,96.13394123224757,172.91108788730503,212.3714886561597,0.0,0.0,33.08213353353789,78.27145002630299,1.0,1.0,0.0,0.0,40.631876372314025,96.13394123224757,1.0,1.0,lower,0.1073345259391771,0.3510650464184356,0.4311823344239153,0.2437305204792585,0.3238478084847382,13.62453609479055,18.103092494296867
