index,subset,n,active_n,d1_crps,challenger_crps,crps_gain,d1_mae,challenger_mae,mae_gain,d1_cov10_90,challenger_cov10_90,d1_cov25_75,challenger_cov25_75,d1_ret_bias,challenger_ret_bias,d1_abs_ret_bias,challenger_abs_ret_bias,d1_imce,challenger_imce
0,full,986,519,22.62420937858564,23.10263819579336,-0.4784288172077203,35.48144487838434,37.69263681893765,-2.211191940553316,0.8874239350912779,0.90973630831643,0.7221095334685599,0.7393509127789046,0.3573162462204101,1.6759542859513752,0.3573162462204101,1.6759542859513752,0.3652206358387994,1.6818550243942256
1,low_mid_lt75,750,329,14.820047002969412,15.170718114371295,-0.3506711114018883,24.959386218380786,27.418140725393567,-2.458754507012784,0.908,0.9333333333333332,0.776,0.7933333333333333,0.5635880705727347,2.627410738088039,0.5635880705727347,2.627410738088039,0.5720493618644835,2.6274107380880385
2,p75_plus,236,190,47.425572860416885,48.31001133590584,-0.8844384754889664,68.92019061992104,70.34463711621758,-1.4244464962965326,0.8220338983050848,0.8347457627118644,0.5508474576271186,0.5677966101694916,0.000140297736648,0.0284323240936774,0.000140297736648,0.0284323240936774,0.0217317620100379,0.0445506569980973
3,p90_plus,93,85,52.716836820851206,53.08137170846202,-0.3645348876108082,73.83064999498045,74.03506797650572,-0.2044179815252577,0.7204301075268817,0.7204301075268817,0.5161290322580645,0.5268817204301075,-0.0241316365408475,-0.0180146073637634,0.0241316365408475,0.0180146073637634,0.0241316365408475,0.0180146073637634
4,p95_plus,47,44,54.11122043037313,54.27792504776607,-0.1667046173929407,73.54209520677831,73.48735642364974,0.0547387831285646,0.6595744680851063,0.6595744680851063,0.5106382978723404,0.5319148936170213,-0.0424488060133446,-0.0422128666322505,0.0424488060133446,0.0422128666322505,0.0424488060133446,0.0422128666322505
5,upper,352,352,44.45092573661618,43.64476883278461,0.806156903831562,53.38691234323898,52.05594099836101,1.3309713448779668,0.6988636363636364,0.7613636363636364,0.4659090909090909,0.5056818181818182,0.4069165735388022,2.221255242184817,0.4069165735388022,2.221255242184817,0.4292020569955839,2.232209771634364
6,lower,167,167,14.086823543120412,15.38795223878105,-1.30112869566064,26.543852407030425,30.81546866395217,-4.271616256921746,0.9880239520958084,0.9880239520958084,0.6946107784431138,0.7125748502994012,0.2527694485193679,0.5265774201180127,0.2527694485193679,0.5265774201180127,0.3292527914710662,0.5265774201180127
