index,omit_origin,n,crps_gain,mae_gain
0,2014,882,-0.3970978928041055,-1.985701188606604
1,2015,871,-0.4259660237591274,-2.097649369233213
2,2016,876,-0.4282486082656626,-2.0859820377288387
3,2017,878,-0.504956180629004,-2.236975799053907
4,2018,875,-0.5167760133530257,-2.345722214260078
5,2019,874,-0.4749473817760896,-2.271518696318232
6,2020,873,-0.5271699798427409,-2.261725018199217
7,2021,874,-0.4923719633729806,-2.295436092966744
8,2022,885,-0.538143438200219,-2.3203893754927165
