index,scope,n,d1_imce,challenger_imce,imce_improvement,relative_improvement
0,overall,519,0.3652206358387994,1.6818550243942256,-1.316634388555426,-3.605038323016776
1,upper,352,0.4292020569955839,2.232209771634364,-1.80300771463878,-4.20083661122186
2,lower,167,0.3292527914710662,0.5265774201180127,-0.1973246286469464,-0.599310419709188
