index,origin,rows_panel,rows_hist,left_only,right_only,maxdiff_source_points,maxdiff_source_percentile,maxdiff_target_points,maxdiff_d1_mean_depth,maxdiff_d1_mean_usable,maxdiff_d1_mean_starter,maxdiff_d1_mean_premium,maxdiff_d1_mean_elite
0,2014,104,104,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,7.105427357601002e-15,7.105427357601002e-15,0.0,5.684341886080803e-14
1,2015,115,115,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,7.105427357601002e-15,0.0,2.8421709430404014e-14
2,2016,110,110,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,5.684341886080803e-14
3,2017,108,108,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,7.105427357601002e-15,0.0,2.8421709430404014e-14
4,2018,111,111,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,7.105427357601002e-15,1.4210854715202004e-14,2.8421709430404014e-14
5,2019,112,112,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,2.8421709430404014e-14
6,2020,113,113,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,2.8421709430404014e-14
7,2021,112,112,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,7.105427357601002e-15,0.0,2.8421709430404014e-14
8,2022,101,101,0,0,0.0,1.1102230246251563e-16,0.0,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,7.105427357601002e-15,2.8421709430404014e-14
