index,origin,a0,a1,d0,d1,success,message,objective,n_train_active,constraint_d0_plus_d1,constraint_d0_minus_d1,binding_plus,binding_minus,fit_ok
0,2014,0.6448002353617529,-0.5582790739597738,-2.775557561562905e-17,-6.938893903906963e-18,True,Optimization terminated successfully,10.63389324015484,320,-3.4694469519536006e-17,-2.081668171172209e-17,True,True,True
1,2015,0.6047330264577618,-0.5572273107212248,-2.775557561562892e-17,1.3877787807814457e-17,True,Optimization terminated successfully,10.364575092015327,368,-1.3877787807814457e-17,-4.163336342344337e-17,True,True,True
2,2016,0.6793469865984505,-0.6161471459265824,-2.7755575615628467e-17,2.7755575615628756e-17,True,Optimization terminated successfully,12.491063294874674,419,2.8965986363584027e-31,-5.5511151231257217e-17,True,True,True
3,2017,0.441939532744431,-0.4433155940222488,1.3877787807814421e-17,-1.3877787807814488e-17,True,Optimization terminated successfully,7.930318355808839,473,-6.62519900869209e-32,2.775557561562891e-17,True,True,True
4,2018,0.4523928945799747,-0.4862033802801494,1.3877787807813982e-17,6.9388939039071875e-18,True,Optimization terminated successfully,8.19663604577178,525,2.081668171172117e-17,6.9388939039067954e-18,True,True,True
5,2019,0.3962394983758558,-0.4674792737254976,1.5077295640437706e-17,9.508709981393268e-18,True,Optimization terminated successfully,7.407713354087594,577,2.4586005621830968e-17,5.568585659044436e-18,True,True,True
6,2020,0.4372647849834968,-0.5592590727232171,1.387778780781453e-17,-6.938893903907238e-18,True,Optimization terminated successfully,8.474137196034127,630,6.938893903907293e-18,2.0816681711721768e-17,True,True,True
7,2021,0.319162574509178,-0.4286582494593208,-2.7755575615628803e-17,2.0816681711721688e-17,True,Optimization terminated successfully,6.252938634437662,687,-6.938893903907108e-18,-4.857225732735049e-17,True,True,True
8,2022,0.3310383875920289,-0.4008491542707713,1.387778780781447e-17,6.938893903907231e-18,True,Optimization terminated successfully,6.2988195540294605,757,2.08166817117217e-17,6.938893903907238e-18,True,True,True
